"UNIVERSIDADE ESTADUAL DE SANTA CRUZ", "UESC", "BA", "FALSE", ""
"UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ", "UTFPR", "PR", "FALSE", ""
"UNIVERSIDADE DE CAXIAS DO SUL", "UCS", "RS", "FALSE", ""
"UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL", "UERGS", "RS", "FALSE", ""
"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE", "UFCG", "PB", "FALSE", ""
"UNIVERSIDADE CATÓLICA DE BRASÍLIA", "UCB", "DF", "FALSE", ""
"FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA", "UNIR", "RO", "FALSE", ""
"UNIVERSIDADE POSITIVO", "UP", "PR", "FALSE", ""
"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO", "UFRPE", "PE", "FALSE", ""
"UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL", "UNIJUI", "RS", "FALSE", ""
"UNIVERSIDADE FEDERAL DE MATO GROSSO", "UFMT", "MT", "FALSE", ""
"UNIVERSIDADE ESTADUAL DO CENTRO OESTE", "UNICENTRO", "PR", "FALSE", ""
"UNIVERSIDADE FEDERAL DO PIAUÍ", "UFPI", "PI", "FALSE", ""
"UNIVERSIDADE DO VALE DO ITAJAÍ", "UNIVALI", "SC", "FALSE", ""
"UNIVERSIDADE METODISTA DE SÃO PAULO", "UMESP", "SP", "FALSE", ""
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ", "PUCPR", "PR", "FALSE", ""
"UNIVERSIDADE FEDERAL RURAL DO SEMI", "UFERSA", "RN", "FALSE", ""
"UNIVERSIDADE FEDERAL DO AMAZONAS", "UFAM", "AM", "FALSE", ""
"UNIVERSIDADE DO ESTADO DE MINAS GERAIS", "UEMG", "MG", "FALSE", ""
"UNIVERSIDADE FEDERAL DO ACRE", "UFAC", "AC", "FALSE", ""
"UNIVERSIDADE DA REGIÃO DE JOINVILLE", "UNIVILLE", "SC", "FALSE", ""
